主办方,计数
共青团中国矿业大学委员会                       共青团力学与建筑工程学院委员会,1
共青团中国矿业大学委员会  等,2
共青团中国矿业大学委员会 中国矿业大学社团联合会,1
共青团中国矿业大学委员会 共青团力学与土木工程学院委员会,1
共青团中国矿业大学委员会 共青团力学与建筑工程学院委员会 力建学院创新协会,1
共青团中国矿业大学委员会 等,71
共青团中国矿业大学委员会中国矿业大学大学生科学技术协会,1
共青团中国矿业大学委员会建筑与设计学院团委,1
共青团中央,4
共青团中央 工业和信息化部,1
共青团中央 等,20
共青团中央、人力资源社会保障部、农业农村部、商务部、国务院扶贫办、黑龙江省人民政府、江西省人民政府,1
共青团中央、人力资源社会保障部、农业农村部、商务部、国家卫生健康委、国家税务总局,1
共青团中央、教育部、中国科学技术协会、全国学联,2
共青团中央、教育部、人力资源社会保障部、中国科协、全国学联,1
共青团中央、教育部、人力资源社会保障部、中国科协、全国学联、陕西省人民政府,1
共青团中央、江西省人民政府,1
共青团中央学校部  等,1
共青团中央学校部 等,3
共青团中央学校部、亚洲微电影艺术节组委会、中国电视艺术家协会、中央新影集团、中国传媒大学、广东广播电视台,1
共青团中央学校部、全国学联秘书处、北京外国语大学,1
共青团中央学生部 等,1
共青团中央宣传部  等,1
共青团中央社会联络部、中国少年儿童新闻出版总社,1
共青团中央维护青少年权益部 等,1
共青团中央网络影视中心、咪咕视讯科技有限公司,2
共青团中央青年发展部,1
共青团中央青年发展部 等,3
共青团中央，中国科协，教育部，全国学联,1
共青团兰州大学委员会  兰州大学党委宣传部  兰州大学博物馆  兰州大学历史文化学院,1
共青团内蒙古财经大学委员会 等,2
共青团力学与土木工程学院委员会,1
共青团力学与建筑工程学院委员会,1
共青团北京大学委员会 等,1
共青团北京市委,2
共青团北京市委、北京市教育厅,1
共青团北京市委员会,1
共青团北京市委员会 等,2
共青团北华航天工业学院委员会,1
共青团华中科技大学委员会 华中科技大学大学生科学技术协会 华中科技大学学生会,2
共青团华中科技大学委员会 等,14
共青团华中科技大学委员会；华中科技大学学生会；华中科技大学科学技术协会,1
共青团南京市委员会  等,1
共青团南京航空航天大学委员会,5
共青团南京航空航天大学委员会 等,1
共青团南华大学委员会 等,1
共青团南昌航空大学科技学院委员会,3
共青团合肥工业大学委员会,1
共青团吉林省委员会、吉林省科协、吉林省教育厅、吉林省学生联合会,1
共青团哈尔滨工业大学委员会 等,2
共青团哈尔滨工业大学市政环境工程学院委员会 等,1
共青团哈尔滨工业大学航天学院委员会,1
共青团四川省委,1
共青团四川省委 等,1
共青团外交学院委员会,1
共青团大连海事大学委员会,1
共青团天津市委、天津市教育厅,1
共青团天津市委员会 等,1
共青团宁夏省委、宁夏自治区教育厅,1
共青团安徽省委员会 等,1
共青团安徽省委员会、安徽省青年联合会,1
共青团山东省委、山东省教育厅（中共山东省委教育工委）、山东省科学技术协会、山东省文化和旅游厅、山东省学生联合会,1
共青团山东省委、山东省科学技术协会、山东省教育厅、山东省科技厅、山东省学生联合会,1
共青团山西省委 等,1
共青团广东省委员会 等,6
共青团广东省委员会、广东省教育厅、广东省科学技术厅、广东省学生联合会,1
共青团广东省委员会、广东省教育厅、广东省科学技术厅、广东省科学技术协会、广东省学生联合会,1
共青团惠州学院委员会 惠州学院学生会,1
共青团惠州学院委员会 惠州学院学生会 等,1
共青团惠州学院委员会 等,5
共青团惠州学院委员会惠州学院学生会,2
共青团成都市委员会 等,1
共青团昆山市委员会 等,1
共青团杭州市委 等,1
共青团武汉大学委员会 等,1
共青团江西省委,2
共青团河南省委、河南省教育厅,1
共青团洛阳市委   等,1
共青团浙江省委 等,1
共青团海南省委 等,1
共青团清华大学委员会、清华大学继续教育学院和清华大学工会,1
共青团湖北省委,1
共青团湖北省委 等,4
共青团湖北省委员会 等,2
共青团湖北省委员会学校部 等,1
共青团湖南师范大学委员会 等,1
共青团湖南省委 等,4
共青团西北工业大学委员会,2
共青团西南交通大学委员会,1
共青团西南交通大学委员会 等,2
共青团贵州省委 等,1
共青团重庆大学委员会      重庆大学社联,1
共青团重庆大学委员会  重庆大学社联,1
共青团重庆市委,3
共青团重庆市委 等,1
共青团重庆市委、重庆市教育厅,1
共青团长春市委、 长春新区管理委员会 、长春市青年联合会,1
共青团长春市委员会 等,1
共青团长江大学委员会 等,1
共青团陕西省委 等,1
共青团陕西省委、陕西省委教育工委、省委教育工委、陕西省学联,1
共青团陕西省委、陕西省教育厅,1
共青团青海民族大学委员会,1
共青团青海省委、青海省教育厅,1
共青团黑龙江省委员会    黑龙江省教育厅    黑龙江省科学技术协会    黑龙江省学生联合会,1
共青教育研究院,1
兴业银行,1
兴业银行 等,1
兴业银行股份公司,1
兵团科技局 等,1
内蒙古农业大学教务处 等,1
内蒙古创新教育学会,4
内蒙古自治区党委宣传部 等,1
内蒙古自治区工业与应用数学学会,1
内蒙古自治区数学学会,4
内蒙古自治区数学学会   数学中国,1
内蒙古自治区数学学会 全球数学建模能力认证中心 中科院软件中心（Mathematica 技术与服务部） 第五维信息技术有限公司 数学中国网,1
内蒙古自治区数学学会 全球数学建模能力认证中心 中科院软件中心（Mathematica 技术与服务部） 第五维信息技术有限公司 数学中国网 等,1
内蒙古自治区数学学会 等,6
内蒙古自治区数学学会和全球建模能力认证中心  等,7
内蒙古自治区数学学会和全球数学建模能力认证中心,1
内蒙古自治区文化和旅游厅,1
内蒙古自治区旅游局,1
内蒙古自治区计算机学会 等,1
内蒙古蒙古族冬季服装服饰大赛组委会,1
内蒙古蒙牛乳业（集团）股份有限公司 等,1
内蒙古财经大学教务处,2
内蒙古财经大学教务处 等,9
农业农村部 等,1
农业农村部农村经济研究中心 等,1
农业农村部规划设计研究院,1
农夫山泉,1
农民日报社,1
冠状病毒引起的肺炎疫情的数学建模预测,1
凤凰出版传媒集团 等,1
凤凰金融,1
创不同,1
创业学院、信息管理学院,3
创业安徽行动领导小组办公室,1
创新创业中心   理学院,2
创新创业中心   等,2
创新创业中心 等,1
创新创业大赛组织委员会,1
创新创业学院,5
创新创业学院 等,3
创新创业学院、教务处,1
创新创业学院；教务处,2
创新协会创新实践部,1
创新实验学院、教务处,36
创新方法研究会 等,1
创新特区试验示范区（沈阳飞机设计研究所）,1
创行中国,1
力学与土木学院创新协会,1
力学与土木工程学院5·12大学生青年志愿者协会,1
力学与土木工程学院创新协会,4
力学与土木工程学院团委 等,1
力学与土木工程学院大学生科技创新协会,3
力学与土木工程学院社团联合会活动事务部,1
力学与建筑工程学院数模协会,1
力建学院创新协会,1
力建学院创新协会人事财务部,1
力建学院团委,1
力建学院团委 力建学院创新协会,1
加拿大艾伯塔省政府 等,1
勘探地球物理家学会（SEG） 等,1
化妆品+互联网创新创业联盟 等,2
北京东方国信科技股份有限公司,2
北京中关村高新技术企业协会,1
北京书香文雅图书文化有限公司,1
北京互动百科网络技术股份有限公司,2
北京交通发展研究院,1
北京交通大学ACM程序设计竞赛组委会,1
北京交通大学法学院,1
北京人才资源开发协会大学生就业创业专业委员会 等,1
北京人才资源开发协会大学生就业创业专委会 等,1
北京仲裁,1
北京信息技术应用创新工作委员会,1
北京信息科学与技术国家研究中心 等,1
北京信息科技大学,2
北京农学院,2
北京冬奥组委、中国文联,1
北京冬奥组委会,1
北京创业孵育协会,1
北京包装技术协会 等,1
北京包豪斯文化艺术院,1
北京包豪斯文化艺术院                       等,1
北京包豪斯文化艺术院 等,1
北京化工大学,1
北京化工大学、中国化工学会,1
北京医学奖励基金会,1
北京华宇软件股份有限公司 等,5
北京华宇软件股份有限公司、清华大学互联网司法研究院、中国移动通信集团,1
北京华融金盈投资发展有限公司,1
北京印刷学院 等,1
北京发明协会 等,2
北京商信舆科技有限公司,1
北京国际电子音乐节组委会 等,1
北京国际电影节,1
北京国际电影节组委会 等,1
北京国际设计周组委会办公室 等,3
北京国际风能大会暨展览会·组委会  等,1
北京图像图形学学会,4
北京图象图形学学会,5
北京图象图形学学会 等,7
北京图象图形学学会、亚太地区大学生数学建模竞赛组委会,1
北京外国语大学,4
北京外国语大学中国外语测评中心,2
北京外国语大学澳大利亚研究中心,1
北京大学 等,3
北京大学、清华大学、复旦大学、北京师范大学、华东师范大学、南京大学、南开大学、武汉大学、厦门大学、中山大学、浙江大学、中国人民大学、山东大学、上海戏剧学院全国十四所著名高校和萌芽杂志社,2
北京大学、百度公司,1
北京大学五四文学社 等,1
北京大学企业大数据研究中心 等,1
北京大学光华管理学院,2
北京大学国家发展研究院、21世纪报系、香港路劲集团,1
北京大学学生创新学社,1
北京大学新媒体研 究院社会化媒体研究中心 等,1
北京大学汇丰商学院、剑桥大学嘉治商学院,1
北京大学深圳研究院、清华大学深圳研究生院、中国金融风险量化研究协同创新中心、珠海市横琴新区金融服务中心,1
